Source,Target,Weight
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Parking Area,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,1,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Street Parking,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Vans,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,One-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,2,1
Scene,Parking Area,1
Scene,Commercial,1
Scene,Industrial,1
Scene,Construction,1
Scene,Urban,1
Scene,Intersection,1
Scene,Suburban,1
TimeOfDay,Daytime,1
Weather,Clear,1
Weather,Sunny,1
Weather,Overcast,1
Weather,Cloudy,1
Weather,Partly Cloudy,1
RoadConditions,Dry,1
LaneInformation,NumberOfLanes,1
LaneInformation,LaneMarkings,1
LaneInformation,SpecialLanes,1
NumberOfLanes,1,1
NumberOfLanes,None,1
NumberOfLanes,2,1
NumberOfLanes,2,1
NumberOfLanes,1,1
NumberOfLanes,Multiple,1
NumberOfLanes,3,1
NumberOfLanes,4,1
NumberOfLanes,Two,1
NumberOfLanes,One,1
NumberOfLanes,Three,1
LaneMarkings,Not Visible,1
LaneMarkings,Not Clearly Visible,1
LaneMarkings,Visible,1
LaneMarkings,None,1
SpecialLanes,Street Parking,1
SpecialLanes,None,1
SpecialLanes,Crosswalk,1
SpecialLanes,Bike Lane,1
SpecialLanes,"Bike Lane, Crosswalk",1
SpecialLanes,Right Turn Only Lane,1
SpecialLanes,Road Work,1
SpecialLanes,Bus Lane,1
SpecialLanes,Center Lane,1
SpecialLanes,Construction Zone,1
SpecialLanes,Left Turn Only Lane,1
SpecialLanes,Forward Only Lane,1
SpecialLanes,Pedestrian Crossing,1
