                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2317,                 1.3479,                0.99576,                0.49015,                0.28004,                0.27461,                0.16868,                 1.1745,                 1.0226,                0.94672,               0.003332,               0.003332,               0.003332
                      2,                 1.1421,                0.89257,                0.95665,                0.43912,                0.25816,                0.26726,                0.16632,                 1.1968,                0.99471,                 0.9593,              0.0065993,              0.0065993,              0.0065993
                      3,                 1.1418,                 0.8218,                0.95686,                0.51841,                0.28884,                0.29513,                0.17179,                 1.2133,                0.97094,                0.97398,              0.0098007,              0.0098007,              0.0098007
                      4,                 1.1158,                 0.7542,                0.95173,                0.50251,                0.28397,                0.30125,                0.17021,                 1.1826,                0.97929,                0.96957,               0.009703,               0.009703,               0.009703
                      5,                 1.0576,                0.68383,                0.93422,                  0.428,                0.27089,                0.28396,                 0.1651,                  1.153,                0.98679,                0.96176,               0.009604,               0.009604,               0.009604
                      6,                 1.0204,                 0.6429,                0.92312,                0.49634,                0.31238,                0.32186,                0.18666,                 1.1491,                0.94721,                0.95901,               0.009505,               0.009505,               0.009505
                      7,                0.99517,                 0.6181,                0.91575,                0.46805,                0.29023,                 0.3086,                0.17995,                 1.1461,                0.94194,                0.96775,               0.009406,               0.009406,               0.009406
                      8,                0.97382,                0.59707,                0.90942,                0.47164,                0.29071,                0.29579,                0.17298,                 1.1307,                0.99377,                0.95543,               0.009307,               0.009307,               0.009307
                      9,                0.95753,                0.58258,                0.90439,                0.49379,                0.28246,                0.30903,                0.18126,                 1.1378,                 0.9671,                0.96551,               0.009208,               0.009208,               0.009208
                     10,                0.94565,                0.57133,                 0.9013,                0.53991,                0.28994,                0.31857,                0.18664,                  1.128,                0.97873,                0.95958,               0.009109,               0.009109,               0.009109
