                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5151,                 3.0256,                 1.0576,                 0.0152,                0.18227,                0.04798,                0.03461,                 1.4598,                 3.5633,                0.95893,             0.00027243,             0.00027243,             0.00027243
                      2,                  1.452,                 1.6507,                  1.036,                0.77503,                0.09301,                0.14237,                0.08377,                 1.5121,                 2.1323,                0.99292,             0.00054465,             0.00054465,             0.00054465
                      3,                 1.3961,                 1.3962,                 1.0246,                0.49577,                0.20821,                0.18884,                0.10892,                 1.4035,                 1.5742,                 1.0041,             0.00081137,             0.00081137,             0.00081137
                      4,                 1.3683,                 1.3063,                 1.0249,                0.40567,                0.21163,                0.20536,                0.12031,                 1.3943,                 1.3127,                  1.001,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.3157,                 1.2142,                 1.0116,                0.36989,                0.22642,                0.21605,                0.13025,                 1.3794,                 1.2938,                0.99191,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.3099,                 1.1923,                 1.0079,                0.39734,                0.24362,                0.22275,                0.13109,                 1.3377,                 1.2856,                0.98938,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.2742,                 1.1284,                 0.9966,                0.52607,                0.22351,                0.23104,                0.13527,                 1.3407,                 1.2179,                 1.0047,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.2799,                 1.1064,                 0.9924,                0.41534,                 0.1816,                0.20038,                0.11208,                 1.3321,                 1.2313,                 1.0039,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.2597,                 1.0752,                0.99123,                0.36352,                0.22153,                0.20414,                0.11411,                  1.304,                 1.2005,                0.99296,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.2523,                 1.0596,                0.99182,                0.34997,                0.22562,                0.20505,                0.11958,                  1.358,                 1.3376,                 1.0128,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.2333,                 1.0328,                0.98397,                 0.4184,                0.22904,                0.22463,                0.12991,                 1.2806,                 1.1984,                0.99214,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.2286,                 1.0153,                0.98691,                0.45281,                0.24016,                0.24614,                0.14107,                 1.2782,                 1.1646,                0.98926,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.2072,                 1.0007,                0.97943,                0.48947,                0.23808,                0.26176,                0.14958,                 1.2728,                 1.1082,                0.97427,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.2145,                0.98072,                0.97368,                 0.4427,                0.24284,                0.24307,                0.14288,                 1.2688,                 1.0979,                0.97895,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.1941,                0.96115,                0.97377,                0.46276,                0.25339,                0.24351,                0.14199,                 1.3026,                 1.1045,                0.99608,             0.00071755,             0.00071755,             0.00071755
                     16,                  1.191,                0.94648,                 0.9701,                0.42282,                0.27344,                0.26499,                0.15673,                 1.2604,                 1.0554,                0.98363,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.2066,                0.94056,                0.97284,                0.42983,                0.25116,                0.24228,                0.14229,                 1.2833,                 1.1669,                0.98803,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.1819,                0.91932,                0.96614,                0.42576,                0.26057,                0.25927,                0.15302,                 1.2917,                 1.1238,                0.98719,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.1775,                0.91097,                0.96614,                0.45751,                0.26165,                0.27419,                0.16384,                 1.2413,                 1.0614,                 0.9706,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.1939,                 0.8985,                0.97038,                0.40698,                0.24061,                0.25576,                0.15441,                 1.2416,                 1.1099,                0.96843,             0.00067631,             0.00067631,             0.00067631
                     21,                  1.166,                0.88373,                0.96273,                 0.4542,                 0.2641,                0.27668,                0.16744,                 1.2762,                 1.0218,                0.97558,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.1438,                0.85982,                0.95865,                0.42389,                0.26732,                0.26628,                0.15836,                 1.2443,                 1.0736,                 0.9684,             0.00065982,             0.00065982,             0.00065982
                     23,                  1.155,                0.86287,                0.96032,                0.40038,                0.26022,                0.24137,                0.13876,                 1.2753,                 1.1057,                0.97917,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.1382,                0.85345,                0.95204,                0.39296,                0.21641,                0.21919,                0.12673,                 1.2649,                 1.1695,                0.98143,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.1268,                 0.8388,                0.95549,                0.40647,                0.28031,                0.26545,                0.15599,                 1.2532,                   1.09,                0.97377,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.1283,                0.83693,                0.95076,                0.48901,                  0.263,                0.28013,                0.16704,                 1.2389,                 1.0259,                0.97873,             0.00062683,             0.00062683,             0.00062683
                     27,                  1.127,                0.82842,                0.95737,                0.47361,                0.27513,                0.28468,                0.16859,                  1.211,                 1.0029,                0.96877,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.1297,                0.81719,                0.94985,                0.50864,                0.27724,                0.27861,                0.16533,                 1.2552,                 1.0432,                0.97484,             0.00061034,             0.00061034,             0.00061034
