epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.908,1.90179,2.30353,1.40902,0.73322,0.19876,0.21222,0.11103,1.74764,1.51946,1.3375,0.00332856,0.00332856,0.00332856
2,238.929,1.77006,1.66042,1.31688,0.59237,0.24662,0.2496,0.12782,1.74695,1.4839,1.31834,0.00659595,0.00659595,0.00659595
3,349.544,1.77708,1.60393,1.31008,0.5984,0.24509,0.245,0.12234,1.78446,1.4833,1.33679,0.00979733,0.00979733,0.00979733
4,457.446,1.77632,1.55756,1.30945,0.65124,0.25708,0.26763,0.13583,1.74191,1.43085,1.32087,0.009703,0.009703,0.009703
5,566.165,1.72129,1.45153,1.27979,0.63381,0.29023,0.30436,0.16004,1.67285,1.33839,1.29548,0.009604,0.009604,0.009604
6,675.385,1.69468,1.38589,1.26512,0.53517,0.315,0.32454,0.17337,1.6364,1.27729,1.25939,0.009505,0.009505,0.009505
7,784.508,1.66024,1.32995,1.2478,0.52939,0.30566,0.32395,0.17478,1.63364,1.26776,1.26297,0.009406,0.009406,0.009406
8,893.827,1.63671,1.29671,1.23959,0.55788,0.33449,0.35539,0.19075,1.6017,1.22832,1.25759,0.009307,0.009307,0.009307
9,1001.9,1.61897,1.25866,1.2263,0.55017,0.33159,0.35123,0.19027,1.58022,1.20274,1.23948,0.009208,0.009208,0.009208
10,1110.3,1.60225,1.24104,1.2204,0.6025,0.35611,0.37638,0.205,1.55935,1.16359,1.23034,0.009109,0.009109,0.009109
11,1224.33,1.58166,1.2147,1.21031,0.63171,0.3427,0.38546,0.21471,1.55202,1.15277,1.22062,0.00901,0.00901,0.00901
12,1344.85,1.57096,1.19766,1.20676,0.66414,0.35789,0.39974,0.22265,1.53508,1.13054,1.21445,0.008911,0.008911,0.008911
13,1464.62,1.55776,1.17576,1.19723,0.6494,0.37143,0.40271,0.22401,1.51719,1.1285,1.22292,0.008812,0.008812,0.008812
14,1584.68,1.54803,1.157,1.19309,0.64712,0.37707,0.41832,0.23648,1.50429,1.09443,1.19134,0.008713,0.008713,0.008713
15,1704.48,1.53449,1.14623,1.1889,0.5788,0.4021,0.42538,0.24049,1.50031,1.07822,1.18996,0.008614,0.008614,0.008614
16,1824.4,1.5286,1.13107,1.18234,0.55623,0.39195,0.4299,0.24315,1.48788,1.07113,1.18963,0.008515,0.008515,0.008515
17,1943.88,1.51984,1.1232,1.17925,0.60399,0.40139,0.43804,0.25016,1.47692,1.06522,1.18809,0.008416,0.008416,0.008416
18,2062.96,1.5077,1.10548,1.16971,0.67837,0.39521,0.45714,0.25978,1.4656,1.04016,1.17931,0.008317,0.008317,0.008317
19,2182.13,1.49695,1.09573,1.1681,0.59867,0.40729,0.45721,0.26175,1.45341,1.02309,1.16788,0.008218,0.008218,0.008218
20,2301.26,1.49278,1.08515,1.16571,0.6463,0.42394,0.47394,0.27341,1.44799,1.01972,1.16549,0.008119,0.008119,0.008119
21,2421.21,1.48165,1.07712,1.15942,0.64971,0.44112,0.48991,0.29012,1.43673,1.01293,1.16095,0.00802,0.00802,0.00802
22,2541.43,1.4729,1.0649,1.15595,0.69879,0.42018,0.49047,0.28754,1.42269,0.99134,1.1573,0.007921,0.007921,0.007921
23,2660.96,1.46515,1.05666,1.15258,0.64825,0.43109,0.49827,0.29111,1.42632,0.98642,1.1525,0.007822,0.007822,0.007822
