epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0556,2.21529,4.0766,1.52869,0.04552,0.24367,0.04227,0.02325,2.00679,4.07332,1.3366,0.00011424,0.00011424,0.00011424
2,61.6832,2.06408,3.3977,1.40317,0.02019,0.25575,0.04386,0.02092,2.06407,3.92563,1.38083,0.000233287,0.000233287,0.000233287
3,88.7448,2.06059,2.93162,1.37826,0.01526,0.2553,0.04655,0.02142,2.18798,3.6279,1.43649,0.000349931,0.000349931,0.000349931
4,115,2.02165,2.62186,1.35762,0.01649,0.26323,0.05621,0.0234,2.27545,3.53959,1.50007,0.000464172,0.000464172,0.000464172
5,142.26,2.00028,2.34582,1.34902,0.90682,0.04039,0.09677,0.04591,2.03034,2.93706,1.39411,0.00057601,0.00057601,0.00057601
6,169.628,1.99421,2.127,1.34588,0.5169,0.07675,0.10075,0.04479,2.07596,2.63544,1.42623,0.000678657,0.000678657,0.000678657
7,196.945,1.98366,2.07765,1.33873,0.43729,0.10064,0.10662,0.04907,2.00656,2.20949,1.42119,0.000671588,0.000671588,0.000671588
8,224.149,1.91367,2.01053,1.33433,0.44408,0.1414,0.12443,0.06093,1.95112,2.0191,1.39589,0.00066452,0.00066452,0.00066452
9,251.605,1.85917,1.87826,1.29526,0.4367,0.1561,0.13349,0.06558,1.90192,1.87713,1.3866,0.000657451,0.000657451,0.000657451
10,279.382,1.82532,1.83633,1.29229,0.43028,0.15064,0.136,0.06367,1.96249,1.8115,1.40814,0.000650383,0.000650383,0.000650383
11,307.056,1.86414,1.79682,1.3096,0.40236,0.15345,0.1315,0.06102,1.98432,1.8434,1.41437,0.000643314,0.000643314,0.000643314
12,335.179,1.8136,1.78116,1.28927,0.47125,0.1589,0.14211,0.06792,1.90102,1.74998,1.3794,0.000636245,0.000636245,0.000636245
13,363.942,1.7831,1.72896,1.27328,0.42448,0.15701,0.14753,0.0708,1.88906,1.72217,1.37658,0.000629177,0.000629177,0.000629177
14,392.08,1.77744,1.67358,1.26393,0.50846,0.16237,0.14795,0.06937,1.88102,1.7096,1.36284,0.000622108,0.000622108,0.000622108
15,419.175,1.75852,1.67859,1.26189,0.43758,0.16775,0.14871,0.0708,1.91155,1.76877,1.39803,0.00061504,0.00061504,0.00061504
16,445.975,1.7693,1.65963,1.24586,0.45016,0.17864,0.15445,0.07211,1.90561,1.7384,1.39444,0.000607971,0.000607971,0.000607971
17,472.427,1.73055,1.6439,1.24169,0.45864,0.16965,0.15357,0.07165,1.9062,1.80344,1.35123,0.000600902,0.000600902,0.000600902
18,498.936,1.7113,1.64483,1.26017,0.46064,0.18912,0.16526,0.07832,1.90363,1.73104,1.36443,0.000593834,0.000593834,0.000593834
19,525.703,1.73215,1.62207,1.23811,0.49621,0.18518,0.17552,0.08337,1.887,1.70753,1.35414,0.000586765,0.000586765,0.000586765
20,552.719,1.69387,1.56944,1.23118,0.38658,0.20047,0.17919,0.0843,1.85884,1.65245,1.38031,0.000579697,0.000579697,0.000579697
21,579.217,1.6864,1.55901,1.2152,0.41207,0.20415,0.17903,0.0846,1.85145,1.61586,1.36043,0.000572628,0.000572628,0.000572628
22,606.737,1.68129,1.51458,1.22569,0.41476,0.19775,0.17667,0.08128,1.9003,1.61805,1.37574,0.000565559,0.000565559,0.000565559
23,633.483,1.67875,1.53278,1.21611,0.44293,0.1855,0.17869,0.08239,1.94252,1.62608,1.38294,0.000558491,0.000558491,0.000558491
24,658.929,1.67744,1.50773,1.2278,0.43414,0.19661,0.18262,0.08642,1.92459,1.7058,1.36647,0.000551422,0.000551422,0.000551422
25,685.32,1.67936,1.51621,1.22886,0.44164,0.20748,0.19454,0.09373,1.87969,1.63661,1.35261,0.000544354,0.000544354,0.000544354
26,711.417,1.6516,1.50011,1.2049,0.44521,0.20753,0.20424,0.09643,1.85923,1.61539,1.34414,0.000537285,0.000537285,0.000537285
27,737.629,1.64985,1.45753,1.20331,0.4455,0.20523,0.20401,0.10038,1.82926,1.5604,1.3363,0.000530216,0.000530216,0.000530216
28,764.6,1.59405,1.41421,1.1955,0.48263,0.20886,0.20424,0.10034,1.82715,1.56142,1.35478,0.000523148,0.000523148,0.000523148
29,790.502,1.60504,1.41677,1.18345,0.45124,0.21521,0.21047,0.10266,1.82673,1.57172,1.33494,0.000516079,0.000516079,0.000516079
30,816.493,1.58576,1.39074,1.18081,0.49201,0.21058,0.21053,0.10292,1.81218,1.55593,1.35215,0.000509011,0.000509011,0.000509011
31,842.828,1.62219,1.42677,1.19683,0.46107,0.21512,0.20881,0.10193,1.82045,1.56412,1.34619,0.000501942,0.000501942,0.000501942
32,868.648,1.57697,1.39668,1.18839,0.43098,0.22333,0.20825,0.0993,1.8528,1.55423,1.36342,0.000494873,0.000494873,0.000494873
33,895.156,1.57336,1.35932,1.16873,0.49146,0.20817,0.20715,0.09929,1.8405,1.56172,1.35131,0.000487805,0.000487805,0.000487805
34,921.106,1.53164,1.35159,1.16707,0.47248,0.20811,0.20525,0.09887,1.84505,1.57342,1.34769,0.000480736,0.000480736,0.000480736
35,947.847,1.55335,1.36128,1.17504,0.43014,0.20191,0.20333,0.0988,1.84146,1.56463,1.32997,0.000473668,0.000473668,0.000473668
36,974.393,1.55113,1.36447,1.17266,0.43679,0.2112,0.20543,0.09874,1.83714,1.54972,1.3348,0.000466599,0.000466599,0.000466599
37,1003.26,1.52938,1.31498,1.16302,0.56879,0.21366,0.21371,0.10252,1.82883,1.53095,1.35077,0.00045953,0.00045953,0.00045953
