Source,Target
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Parking Area
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Vans
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,One-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915243112465.jpg,2
Scene,Parking Area
Scene,Commercial
Scene,Industrial
Scene,Construction
Scene,Urban
Scene,Intersection
Scene,Suburban
TimeOfDay,Daytime
Weather,Clear
Weather,Sunny
Weather,Overcast
Weather,Cloudy
